Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Persistent Müllerian duct syndrome,AMH,anti-Mullerian hormone,Infancy,Autosomal recessive
Persistent Müllerian duct syndrome,AMHR2,anti-Mullerian hormone receptor type 2,Infancy,Autosomal recessive
Dysequilibrium syndrome,VLDLR,very low density lipoprotein receptor,Neonatal,Autosomal recessive
Dysequilibrium syndrome,WDR81,WD repeat domain 81,Neonatal,Autosomal recessive
Dysequilibrium syndrome,CA8,carbonic anhydrase 8,Neonatal,Autosomal recessive
Dysequilibrium syndrome,ATP8A2,ATPase phospholipid transporting 8A2,Neonatal,Autosomal recessive
Dysequilibrium syndrome,TUBB2B,tubulin beta 2B class IIb,Neonatal,Autosomal recessive
Temtamy syndrome,C12ORF57,chromosome 12 open reading frame 57,"Antenatal, Infancy, Neonatal",Autosomal recessive
"45,X/46,XY mixed gonadal dysgenesis",SRY,sex determining region Y,All ages,"Not applicable, Unknown"
Dysosteosclerosis,TNFRSF11A,TNF receptor superfamily member 11a,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Dysosteosclerosis,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3","Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Dysosteosclerosis,SLC29A3,solute carrier family 29 member 3,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
"Acrofacial dysostosis, Rodríguez type",SF3B4,splicing factor 3b subunit 4,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Transcobalamin deficiency,TCN2,transcobalamin 2,"Infancy, Neonatal",Autosomal recessive
Hypomyelination with atrophy of basal ganglia and cerebellum,TUBB4A,tubulin beta 4A class IVa,"Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Hypomyelination with atrophy of basal ganglia and cerebellum,UFM1,ubiquitin fold modifier 1,"Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Progressive cavitating leukoencephalopathy,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,"Childhood, Infancy",Autosomal recessive
Hypotrichosis with juvenile macular degeneration,CDH3,cadherin 3,"Infancy, Neonatal",Autosomal recessive
Alpers-Huttenlocher syndrome,POLG,"DNA polymerase gamma, catalytic subunit","Adolescent, Adult, Childhood, Infancy",Autosomal recessive
Autosomal recessive bestrophinopathy,BEST1,bestrophin 1,All ages,Autosomal recessive
SERKAL syndrome,WNT4,Wnt family member 4,Antenatal,Autosomal recessive
Distal deletion 15q syndrome,MCTP2,multiple C2 and transmembrane domain containing 2,"Antenatal, Neonatal",
Microphthalmia with brain and digit anomalies,BMP4,bone morphogenetic protein 4,Antenatal,Autosomal dominant
17q11.2 microduplication syndrome,NF1,neurofibromin 1,"Infancy, Neonatal",Autosomal dominant
Developmental delay-language impairment-dopa responsive dystonia-parkinsonism syndrome due to 2q24 microdeletion,NR4A2,nuclear receptor subfamily 4 group A member 2,"Antenatal, Neonatal",Not applicable
Developmental delay-language impairment-dopa responsive dystonia-parkinsonism syndrome due to 2q24 microdeletion,TBR1,T-box brain transcription factor 1,"Antenatal, Neonatal",Not applicable
1p36 deletion syndrome,RERE,arginine-glutamic acid dipeptide repeats,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,PRKCZ,protein kinase C zeta,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,UBE4B,ubiquitination factor E4B,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,MMP23B,matrix metallopeptidase 23B,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,GABRD,gamma-aminobutyric acid type A receptor subunit delta,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,SKI,SKI proto-oncogene,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,PRDM16,PR/SET domain 16,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,CASZ1,castor zinc finger 1,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,SPEN,spen family transcriptional repressor,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,PDPN,podoplanin,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,LUZP1,leucine zipper protein 1,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
1p36 deletion syndrome,HSPG2,heparan sulfate proteoglycan 2,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
Autosomal recessive spastic paraplegia type 39,PNPLA6,"patatin like domain 6, lysophospholipase",Childhood,Autosomal recessive
Autosomal recessive ataxia due to ubiquinone deficiency,COQ8A,coenzyme Q8A,Childhood,Autosomal recessive
Charcot-Marie-Tooth disease type 4J,FIG4,FIG4 phosphoinositide 5-phosphatase,"Adult, Childhood, Infancy",Autosomal recessive
Neuropathy with hearing impairment,GJB3,gap junction protein beta 3,Adult,Autosomal dominant
Distal hereditary motor neuropathy type 2,HSPB1,heat shock protein family B (small) member 1,"Adolescent, Adult",Autosomal dominant
Distal hereditary motor neuropathy type 2,HSPB8,heat shock protein family B (small) member 8,"Adolescent, Adult",Autosomal dominant
Distal hereditary motor neuropathy type 2,HSPB3,heat shock protein family B (small) member 3,"Adolescent, Adult",Autosomal dominant
Distal hereditary motor neuropathy type 2,FBXO38,F-box protein 38,"Adolescent, Adult",Autosomal dominant
Absence of fingerprints-congenital milia syndrome,SMARCAD1,SNF2 related chromatin remodeling ATPase with DExD box 1,Childhood,Autosomal dominant
Distal hereditary motor neuropathy type 5,REEP1,receptor accessory protein 1,"Adolescent, Adult, Childhood",Autosomal dominant
Distal hereditary motor neuropathy type 5,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin","Adolescent, Adult, Childhood",Autosomal dominant
Distal hereditary motor neuropathy type 5,GARS1,glycyl-tRNA synthetase 1,"Adolescent, Adult, Childhood",Autosomal dominant
X-linked distal spinal muscular atrophy type 3,ATP7A,ATPase copper transporting alpha,"Adolescent, Adult, Childhood, Infancy",X-linked recessive
Restrictive dermopathy,ZMPSTE24,zinc metallopeptidase STE24,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Restrictive dermopathy,LMNA,lamin A/C,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
"Distal hereditary motor neuropathy, Jerash type",SIGMAR1,sigma non-opioid intracellular receptor 1,Childhood,Autosomal recessive
X-linked hereditary sensory and autonomic neuropathy with deafness,AIFM1,apoptosis inducing factor mitochondria associated 1,Childhood,X-linked recessive
Wolcott-Rallison syndrome,EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3,"Infancy, Neonatal",Autosomal recessive
Mutilating hereditary sensory neuropathy with spastic paraplegia,CCT5,chaperonin containing TCP1 subunit 5,"Childhood, Infancy",Autosomal recessive
Distal hereditary motor neuropathy type 7,DCTN1,dynactin subunit 1,"Adolescent, Adult, Childhood",Autosomal dominant
Distal hereditary motor neuropathy type 7,SLC5A7,solute carrier family 5 member 7,"Adolescent, Adult, Childhood",Autosomal dominant
Stapes ankylosis with broad thumbs and toes,NOG,noggin,"Infancy, Neonatal",Autosomal dominant
Titin-related limb-girdle muscular dystrophy R10,TTN,titin,"Adolescent, Adult, Childhood",Autosomal recessive
Crisponi syndrome,CRLF1,cytokine receptor like factor 1,Neonatal,Autosomal recessive
Crisponi syndrome,CLCF1,cardiotrophin like cytokine factor 1,Neonatal,Autosomal recessive
Hyperlipidemia due to hepatic triacylglycerol lipase deficiency,LIPC,"lipase C, hepatic type",No data available,Autosomal recessive
Jackson-Weiss syndrome,FGFR2,fibroblast growth factor receptor 2,Neonatal,Autosomal dominant
Brachydactyly type B2,NOG,noggin,Neonatal,Autosomal dominant
Syndactyly-telecanthus-anogenital and renal malformations syndrome,CCNQ,cyclin Q,"Infancy, Neonatal",X-linked dominant
Autosomal dominant macrothrombocytopenia,TUBA8,tubulin alpha 8,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,GP1BA,glycoprotein Ib platelet subunit alpha,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,TRPM7,transient receptor potential cation channel subfamily M member 7,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,GFI1B,growth factor independent 1B transcriptional repressor,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,GP1BB,glycoprotein Ib platelet subunit beta,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,TPM4,tropomyosin 4,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,ITGA2B,integrin subunit alpha 2b,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,ITGB3,integrin subunit beta 3,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,TUBB1,tubulin beta 1 class VI,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Autosomal dominant macrothrombocytopenia,ACTN1,actinin alpha 1,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
CLOVES syndrome,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","Infancy, Neonatal",Not applicable
Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,FGFR2,fibroblast growth factor receptor 2,"Antenatal, Neonatal",Autosomal dominant
Short stature due to primary acid-labile subunit deficiency,IGFALS,insulin like growth factor binding protein acid labile subunit,"Infancy, Neonatal",Autosomal recessive
Curry-Jones syndrome,SMO,"smoothened, frizzled class receptor",Neonatal,Not applicable
Self-limited neonatal-infantile epilepsy,SCN2A,sodium voltage-gated channel alpha subunit 2,"Infancy, Neonatal",Autosomal dominant
Self-limited neonatal-infantile epilepsy,KCNQ2,potassium voltage-gated channel subfamily Q member 2,"Infancy, Neonatal",Autosomal dominant
RHYNS syndrome,TMEM67,transmembrane protein 67,"Antenatal, Infancy, Neonatal",Autosomal recessive
Saldino-Mainzer syndrome,IFT140,intraflagellar transport 140,Infancy,Autosomal recessive
Saldino-Mainzer syndrome,IFT172,intraflagellar transport 172,Infancy,Autosomal recessive
"Palmoplantar keratoderma, Nagashima type",SERPINB7,serpin family B member 7,"Childhood, Infancy",Autosomal recessive
Bilateral microtia-deafness-cleft palate syndrome,HOXA2,homeobox A2,Neonatal,"Autosomal dominant, Autosomal recessive"
Guanidinoacetate methyltransferase deficiency,GAMT,guanidinoacetate N-methyltransferase,"Childhood, Infancy",Autosomal recessive
Prolidase deficiency,PEPD,peptidase D,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
Knobloch syndrome,PAK2,p21 (RAC1) activated kinase 2,"Antenatal, Infancy, Neonatal",Autosomal recessive
Knobloch syndrome,COL18A1,collagen type XVIII alpha 1 chain,"Antenatal, Infancy, Neonatal",Autosomal recessive
Orofaciodigital syndrome type 9,TBC1D32,TBC1 domain family member 32,"Antenatal, Infancy, Neonatal",Autosomal recessive
X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,AP1S2,adaptor related protein complex 1 subunit sigma 2,"Antenatal, Neonatal",X-linked recessive
X-linked complicated corpus callosum dysgenesis,L1CAM,L1 cell adhesion molecule,"Antenatal, Neonatal",X-linked recessive
Familial intraosseous vascular malformation,ELMO2,engulfment and cell motility 2,,Autosomal recessive
Vici syndrome,EPG5,ectopic P-granules 5 autophagy tethering factor,"Antenatal, Neonatal",Autosomal recessive
Coxopodopatellar syndrome,TBX4,T-box transcription factor 4,"Infancy, Neonatal",Autosomal dominant
Autosomal recessive Robinow syndrome,ROR2,receptor tyrosine kinase like orphan receptor 2,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive Robinow syndrome,NXN,nucleoredoxin,"Infancy, Neonatal",Autosomal recessive
Cantú syndrome,ABCC9,ATP binding cassette subfamily C member 9,Neonatal,"Autosomal dominant, Not applicable"
Cantú syndrome,KCNJ8,potassium inwardly rectifying channel subfamily J member 8,Neonatal,"Autosomal dominant, Not applicable"
SPECC1L-related hypertelorism syndrome,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,Neonatal,Autosomal dominant
Craniofrontonasal dysplasia,EFNB1,ephrin B1,"Antenatal, Neonatal",X-linked dominant
Craniodiaphyseal dysplasia,SOST,sclerostin,Childhood,"Autosomal dominant, Autosomal recessive, Not applicable"
Craniodiaphyseal dysplasia,SP7,Sp7 transcription factor,Childhood,"Autosomal dominant, Autosomal recessive, Not applicable"
Autosomal dominant slowed nerve conduction velocity,ARHGEF10,Rho guanine nucleotide exchange factor 10,Adult,Autosomal dominant
Cranioectodermal dysplasia,IFT122,intraflagellar transport 122,"Antenatal, Neonatal",Autosomal recessive
Cranioectodermal dysplasia,WDR35,WD repeat domain 35,"Antenatal, Neonatal",Autosomal recessive
Cranioectodermal dysplasia,IFT43,intraflagellar transport 43,"Antenatal, Neonatal",Autosomal recessive
Cranioectodermal dysplasia,WDR19,WD repeat domain 19,"Antenatal, Neonatal",Autosomal recessive
Cranioectodermal dysplasia,IFT52,intraflagellar transport 52,"Antenatal, Neonatal",Autosomal recessive
Craniofacial-deafness-hand syndrome,PAX3,paired box 3,Neonatal,Autosomal dominant
Craniometaphyseal dysplasia,ANKH,ANKH inorganic pyrophosphate transport regulator,Childhood,"Autosomal dominant, Autosomal recessive"
Craniometaphyseal dysplasia,GJA1,gap junction protein alpha 1,Childhood,"Autosomal dominant, Autosomal recessive"
Cranio-osteoarthropathy,HPGD,15-hydroxyprostaglandin dehydrogenase,Childhood,Autosomal recessive
Lowry-Wood syndrome,RNU4ATAC,"RNA, U4atac small nuclear",Neonatal,Autosomal recessive
Spinocerebellar ataxia type 34,ELOVL4,ELOVL fatty acid elongase 4,"Adolescent, Adult, Neonatal",Autosomal dominant
Maternal phenylketonuria syndrome,PAH,phenylalanine hydroxylase,"Antenatal, Neonatal",Autosomal recessive
EEC syndrome,TP63,tumor protein p63,"Antenatal, Neonatal",Autosomal dominant
EEM syndrome,CDH3,cadherin 3,Neonatal,Autosomal recessive
Focal facial dermal dysplasia type III,TWIST2,twist family bHLH transcription factor 2,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Jalili syndrome,CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4,Childhood,Autosomal recessive
Melorheostosis with osteopoikilosis,LEMD3,LEM domain containing 3,All ages,Autosomal dominant
Cone rod dystrophy,RPGR,retinitis pigmentosa GTPase regulator,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,PRPH2,peripherin 2,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,CFAP410,cilia and flagella associated protein 410,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,PITPNM3,PITPNM family member 3,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,OPN1MW,"opsin 1, medium wave sensitive","Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,CRX,cone-rod homeobox,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,CFAP418,cilia and flagella associated protein 418,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,CDHR1,cadherin related family member 1,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,MFSD8,major facilitator superfamily domain containing 8,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,ABCA4,ATP binding cassette subfamily A member 4,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,RIMS1,regulating synaptic membrane exocytosis 1,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,RPGRIP1,RPGR interacting protein 1,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,CACNA1F,calcium voltage-gated channel subunit alpha1 F,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
Cone rod dystrophy,CNGA3,cyclic nucleotide gated channel subunit alpha 3,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
